Administrative Counties,Single Year of Age,Female,Male,Difference (Female - Male)
Louth County Council,57,831,845,-14
Louth County Council,58,802,834,-32
Louth County Council,59,808,774,34
Louth County Council,60,727,772,-45
Louth County Council,61,788,754,34
Louth County Council,62,706,707,-1
Louth County Council,63,659,659,0
Louth County Council,64,658,650,8
Louth County Council,65,678,627,51
Louth County Council,66,605,658,-53
Louth County Council,67,606,630,-24
Louth County Council,68,578,591,-13
Louth County Council,69,569,536,33
Louth County Council,70,544,545,-1
Louth County Council,71,542,488,54
Louth County Council,72,527,523,4
Louth County Council,73,518,462,56
Louth County Council,74,538,468,70
Louth County Council,75,476,440,36
Louth County Council,76,506,415,91
Louth County Council,77,430,345,85
Louth County Council,78,408,389,19
Louth County Council,79,374,291,83
Louth County Council,80,300,272,28
Louth County Council,81,325,264,61
Louth County Council,82,289,223,66
Louth County Council,83,246,215,31
Louth County Council,84,222,194,28
Louth County Council,85,209,143,66
Louth County Council,86,192,125,67
Louth County Council,87,176,90,86
Louth County Council,88,143,101,42
Louth County Council,89,116,67,49
Louth County Council,90,92,57,35
Louth County Council,91,95,37,58
Louth County Council,92,66,34,32
Louth County Council,93,63,25,38
Louth County Council,94,39,11,28
Louth County Council,95,39,11,28
Louth County Council,96,25,5,20
Louth County Council,97,20,5,15
Louth County Council,98,17,3,14
Louth County Council,99,6,1,5
Louth County Council,100,23,5,18
Mayo  County Council,0,730,790,-60
Mayo  County Council,1,790,776,14
Mayo  County Council,2,731,795,-64
Mayo  County Council,3,743,814,-71
Mayo  County Council,4,751,842,-91
Mayo  County Council,5,832,880,-48
Mayo  County Council,6,847,917,-70
Mayo  County Council,7,874,924,-50
Mayo  County Council,8,861,931,-70
Mayo  County Council,9,908,978,-70
Mayo  County Council,10,939,968,-29
Mayo  County Council,11,960,1015,-55
Mayo  County Council,12,962,1000,-38
Mayo  County Council,13,919,969,-50
Mayo  County Council,14,942,974,-32
Mayo  County Council,15,911,929,-18
Mayo  County Council,16,933,945,-12
Mayo  County Council,17,885,946,-61
Mayo  County Council,18,876,873,3
Mayo  County Council,19,684,734,-50
Mayo  County Council,20,658,652,6
Mayo  County Council,21,634,629,5
